チケット番号,種別,日時 (JST),銘柄,売買,数量,約定価格,約定金額,手数料(円),スポット損益(円),スワップ損益(円),取引損益/入出金金額(円)
5,入金,2025-12-19 15:34:53,,,,,,,,,250000
7,新規取引,2025-12-19 17:03:01,USD/JPY,買,20000,156.868,3137360,0,,,
7,決済取引,2025-12-19 18:28:21,USD/JPY,買,10000,157.018,1570180,0,1500,0,1500
7,決済取引,2025-12-19 18:41:49,USD/JPY,買,10000,157.052,1570520,0,1840,0,1840
26,新規取引,2025-12-19 19:05:05,USD/JPY,買,20000,157.228,3144560,0,,,
26,決済取引,2025-12-19 19:18:28,USD/JPY,買,20000,157.244,3144880,0,320,0,320
41,新規取引,2025-12-22 15:46:31,EUR/USD,買,15000,1.17159,17573.85,0,,,
41,決済取引,2025-12-22 15:50:19,EUR/USD,買,15000,1.17142,17571.3,0,-402.183,0,-402.183
49,新規取引,2025-12-22 15:50:29,EUR/USD,売,15000,1.17142,17571.3,0,,,
49,決済取引,2025-12-22 16:00:04,EUR/USD,売,15000,1.17167,17575.05,0,-591.19,0,-591.19
69,新規取引,2025-12-22 16:00:20,EUR/USD,買,15000,1.17172,17575.8,0,,,
69,決済取引,2025-12-22 16:11:39,EUR/USD,買,15000,1.17159,17573.85,0,-307.5204,0,-307.5204
91,新規取引,2025-12-22 16:12:26,EUR/USD,売,15000,1.17153,17572.95,0,,,
91,決済取引,2025-12-22 16:22:09,EUR/USD,売,15000,1.17205,17580.75,0,-1230.3005,0,-1230.3005
97,新規取引,2025-12-22 16:23:09,EUR/USD,買,15000,1.17185,17577.75,0,,,
97,決済取引,2025-12-22 16:25:02,EUR/USD,買,15000,1.17186,17577.9,0,23.5715,0,23.5715
101,新規取引,2025-12-22 16:27:28,EUR/USD,買,15000,1.17215,17582.25,0,,,
101,決済取引,2025-12-22 16:45:46,EUR/USD,買,15000,1.1723,17584.5,0,353.3901,0,353.3901
111,新規取引,2025-12-22 16:46:44,EUR/USD,買,15000,1.17243,17586.45,0,,,
111,決済取引,2025-12-22 16:47:32,EUR/USD,買,15000,1.1723,17584.5,0,-307.5165,0,-307.5165
115,新規取引,2025-12-22 16:48:10,EUR/USD,買,15000,1.17241,17586.15,0,,,
115,決済取引,2025-12-22 16:51:07,EUR/USD,買,15000,1.17277,17591.55,0,848.1954,0,848.1954
121,新規取引,2025-12-22 16:51:20,EUR/USD,買,15000,1.17283,17592.45,0,,,
121,決済取引,2025-12-22 16:56:36,EUR/USD,買,15000,1.17284,17592.6,0,23.5792,0,23.5792
127,新規取引,2025-12-22 16:57:06,EUR/USD,買,15000,1.17305,17595.75,0,,,
127,決済取引,2025-12-22 17:07:10,EUR/USD,買,15000,1.1728,17592,0,-591.5733,0,-591.5733
133,新規取引,2025-12-23 18:17:08,EUR/USD,買,20000,1.17899,23579.8,0,,,
133,決済取引,2025-12-23 19:16:39,EUR/USD,買,20000,1.17952,23590.4,0,1649.8062,0,1649.8062
149,新規取引,2025-12-23 19:21:05,EUR/USD,買,20000,1.17939,23587.8,0,,,
149,決済取引,2025-12-23 19:43:07,EUR/USD,買,20000,1.1797,23594,0,965.1975,0,965.1975
165,新規取引,2025-12-24 19:59:41,USD/JPY,買,20000,155.944,3118880,0,,,
165,決済取引,2025-12-24 21:34:39,USD/JPY,買,20000,155.924,3118480,0,-400,0,-400
211,新規取引,2025-12-24 22:34:58,EUR/USD,売,20000,1.17902,23580.4,0,,,
211,決済取引,2025-12-25 00:21:21,EUR/USD,売,20000,1.17815,23563,0,2705.4982,0,2705.4982
225,新規取引,2025-12-29 09:42:52,USD/JPY,売,20000,156.104,3122080,0,,,
225,決済取引,2025-12-29 09:49:24,USD/JPY,売,20000,156.218,3124360,0,-2280,0,-2280
231,新規取引,2025-12-29 09:49:33,USD/JPY,売,20000,156.212,3124240,0,,,
231,決済取引,2025-12-29 09:53:37,USD/JPY,売,20000,156.313,3126260,0,-2020,0,-2020
237,新規取引,2025-12-29 09:55:11,USD/JPY,売,20000,156.254,3125080,0,,,
237,決済取引,2025-12-29 09:56:31,USD/JPY,売,20000,156.297,3125940,0,-860,0,-860
243,新規取引,2025-12-29 09:56:36,USD/JPY,買,20000,156.323,3126460,0,,,
243,決済取引,2025-12-29 10:24:25,USD/JPY,買,20000,156.193,3123860,0,-2600,0,-2600
249,新規取引,2025-12-29 10:34:36,EUR/USD,買,20000,1.17829,23565.8,0,,,
249,決済取引,2025-12-29 11:35:36,EUR/USD,買,20000,1.17764,23552.8,0,-2038.1912,0,-2038.1912
259,新規取引,2025-12-29 11:35:45,EUR/USD,買,20000,1.1777,23554,0,,,
259,決済取引,2025-12-29 11:44:56,EUR/USD,買,20000,1.17764,23552.8,0,-188.071,0,-188.071
265,新規取引,2025-12-29 11:45:04,USD/JPY,売,20000,156.41,3128200,0,,,
265,決済取引,2025-12-29 11:57:21,USD/JPY,売,20000,156.398,3127960,0,240,0,240
269,新規取引,2025-12-29 11:57:39,USD/JPY,買,20000,156.398,3127960,0,,,
269,決済取引,2025-12-29 12:03:11,USD/JPY,買,20000,156.42,3128400,0,440,0,440
273,新規取引,2025-12-29 12:03:17,USD/JPY,売,20000,156.416,3128320,0,,,
273,決済取引,2025-12-29 12:07:39,USD/JPY,売,20000,156.433,3128660,0,-340,0,-340
279,新規取引,2025-12-29 12:11:46,USD/JPY,売,20000,156.379,3127580,0,,,
279,決済取引,2025-12-29 12:21:02,USD/JPY,売,20000,156.41,3128200,0,-620,0,-620
283,新規取引,2025-12-29 12:22:13,USD/JPY,売,20000,156.399,3127980,0,,,
283,決済取引,2025-12-29 12:27:20,USD/JPY,売,20000,156.363,3127260,0,720,0,720
287,新規取引,2025-12-29 12:28:18,USD/JPY,売,20000,156.358,3127160,0,,,
287,決済取引,2025-12-29 12:28:58,USD/JPY,売,20000,156.384,3127680,0,-520,0,-520
291,新規取引,2025-12-29 12:30:55,USD/JPY,売,20000,156.392,3127840,0,,,
291,決済取引,2025-12-29 12:35:17,USD/JPY,売,20000,156.374,3127480,0,360,0,360
297,新規取引,2025-12-29 12:35:28,USD/JPY,買,20000,156.38,3127600,0,,,
297,決済取引,2025-12-29 12:35:54,USD/JPY,買,20000,156.355,3127100,0,-500,0,-500
303,新規取引,2025-12-29 12:39:08,USD/JPY,売,20000,156.349,3126980,0,,,
303,決済取引,2025-12-29 12:39:57,USD/JPY,売,20000,156.354,3127080,0,-100,0,-100
307,新規取引,2025-12-29 12:42:25,USD/JPY,売,20000,156.384,3127680,0,,,
